Model,Color,Memory,Storage,Rating,Selling Price,Original Price
iPhone 12 Mini ,Green,4GB,128 GB,4.5,61999,64900
iPhone 12 Mini ,Blue,4GB,128 GB,4.5,61999,64900
iPhone 13 Pro ,Sierra Blue,6 GB,256 GB,0,129900,
iPhone 11 ,Yellow,4GB,64 GB,4.6,49900,
iPhone 12 ,Blue,4GB,128 GB,4.6,68999,70900
iPhone 12 ,White,4GB,256 GB,4.6,78999,80900
iPhone 12 ,Red,4GB,128 GB,4.6,68999,70900
iPhone 12 ,White,4GB,64 GB,4.6,63999,65900
iPhone 12 Mini ,White,4GB,64 GB,4.5,56999,59900
iPhone 12 Mini ,Purple,4GB,128 GB,4.5,61999,64900
iPhone 12 ,Black,4GB,256 GB,4.6,78999,80900
iPhone 12 ,Green,4GB,128 GB,4.6,68999,70900
iPhone 12 Mini ,Black,4GB,128 GB,4.5,61999,64900
iPhone 12 Mini ,Red,4GB,64 GB,4.5,56999,59900
iPhone 12 Mini ,Black,4GB,64 GB,4.5,56999,59900
iPhone 13 ,Pink,4GB,256 GB,0,89900,
iPhone 11 ,Yellow,4GB,128 GB,4.6,54900,
iPhone 12 Mini ,Red,4GB,128 GB,4.5,61999,64900
iPhone 12 Mini ,Green,4GB,64 GB,4.5,56999,59900
iPhone 11 ,Red,4GB,128 GB,4.6,54900,
iPhone SE ,Red,2 GB,256 GB,4.5,54900,
iPhone 13 Mini ,Starlight,4 GB,256 GB,0,79900,
iPhone 11 ,White,4GB,64 GB,4.6,49900,
iPhone 11 ,Green,4GB,64 GB,4.6,49900,
iPhone 12 ,Black,4GB,128 GB,4.6,68999,70900
iPhone 11 ,Purple,4GB,64 GB,4.6,49900,
iPhone 12 ,Blue,4GB,64 GB,4.6,63999,65900
iPhone 12 ,White,4GB,128 GB,4.6,68999,70900
iPhone 12 Mini ,Blue,4GB,256 GB,4.5,71999,84900
iPhone 13 ,Red,4GB,256 GB,0,89900,
iPhone 12 Pro Max ,Silver,,512 GB,4.6,149900,
iPhone 12 ,Blue,4GB,256 GB,4.6,78999,80900
iPhone 12 ,Red,4GB,64 GB,4.6,63999,65900
iPhone 12 Mini ,Red,4GB,256 GB,4.5,71999,74900
iPhone 11 ,White,4GB,128 GB,4.6,54900,
iPhone 12 Mini ,Blue,4GB,64 GB,4.5,56999,59900
iPhone 13 Mini ,Midnight,4 GB,128 GB,0,69900,
iPhone 12 ,Green,4GB,64 GB,4.6,63999,65900
iPhone SE ,White,2 GB,256 GB,4.5,54900,
iPhone 12 Mini ,White,4GB,128 GB,4.5,61999,64900
iPhone 12 ,Green,4GB,256 GB,4.6,78999,80900
iPhone 12 Pro ,Pacific Blue,6GB,256 GB,4.6,119900,
iPhone 12 Mini ,White,4GB,256 GB,4.5,71999,74900
iPhone 12 ,Black,4GB,64 GB,4.6,63999,65900
iPhone 12 Mini ,Purple,4GB,256 GB,4.5,71999,74900
iPhone 11 Pro Max ,Midnight Green,4GB,64 GB,4.7,117100,
iPhone 13 ,Blue,4GB,512 GB,0,109900,
iPhone 12 Pro ,Gold,6GB,128 GB,4.6,109900,
iPhone 12 Pro ,Gold,6GB,512 GB,4.6,139900,
iPhone 12 Mini ,Green,4GB,256 GB,4.5,71999,74900
