Model,Color,Memory,Storage,Rating,Selling Price,Original Price
C11 2021 ,Cool Blue,4 GB,64 GB,4.2,8799,9999
C11 2021 ,Cool Blue,2 GB,32 GB,4.3,7299,7999
C11 2021 ,Cool Grey,2 GB,32 GB,4.3,7299,7999
Narzo 30 5G ,Racing Blue,4 GB,64 GB,4.4,14999,15999
Narzo 30 5G ,Racing Silver,4 GB,64 GB,4.4,14999,15999
8s 5G ,Universe Blue,8 GB,128 GB,0,19999,22999
8s 5G ,Universe Purple,8 GB,128 GB,0,19999,22999
8s 5G ,Universe Purple,6 GB,128 GB,4.5,17999,20999
C21 ,Cross Black,4 GB,64 GB,4.4,9999,10999
C21 ,Cross Blue,4 GB,64 GB,4.4,9999,10999
C21 ,Cross Black,3 GB,32 GB,4.4,8999,9999
C21 ,Cross Blue,3 GB,32 GB,4.4,8999,9999
Narzo 30 5G ,Racing Blue,6 GB,128 GB,4.3,16999,17999
Narzo 30 5G ,Racing Silver,6 GB,128 GB,4.3,16999,17999
Narzo 30 ,Racing Silver,6 GB,64 GB,4.3,14499,15999
Narzo 30 ,Racing Blue,6 GB,64 GB,4.3,14499,15999
Narzo 30 ,Racing Blue,4 GB,64 GB,4.3,13499,14999
Narzo 30 ,Racing Silver,4 GB,64 GB,4.3,13499,14999
Narzo 30A ,Laser Black,3 GB,32 GB,4.3,8999,9999
Narzo 30 ,Racing Blue,6 GB,128 GB,4.3,15499,16999
Narzo 30 ,Racing Silver,6 GB,128 GB,4.3,15499,16999
8 5G ,Supersonic Black,4 GB,128 GB,4.3,16499,16999
8 5G ,Supersonic Blue,4 GB,64 GB,4.3,15499,15999
8 5G ,Supersonic Black,4 GB,64 GB,4.3,15499,15999
8 Pro ,Infinite Black,8 GB,128 GB,4.4,19999,21999
8 5G ,Supersonic Blue,8 GB,128 GB,4.3,18499,18999
8 5G ,Supersonic Black,8 GB,128 GB,4.3,18499,18999
8 5G ,Supersonic Blue,4 GB,128 GB,4.3,16499,16999
C15 ,Power Blue,3 GB,32 GB,4.3,9999,11999
8 Pro ,Infinite Black,6 GB,128 GB,4.3,17999,19999
8 Pro ,Infinite Blue,8 GB,128 GB,4.4,19999,21999
8,Cyber Silver,6 GB,128 GB,4.3,16999,17999
8,Cyber Black,6 GB,128 GB,4.3,16999,17999
8,Cyber Black,8 GB,128 GB,4.3,17999,18999
8,Cyber Black,4 GB,128 GB,4.3,15999,16999
8,Cyber Silver,8 GB,128 GB,4.3,17999,18999
C12 ,Power Silver,3 GB,32 GB,4.4,8999,10999
C12 ,Power Blue,3 GB,32 GB,4.4,8999,10999
C11 ,Rich Grey,2 GB,32 GB,4.4,7499,8999
C11 ,Rich Green,2 GB,32 GB,4.4,7499,8999
7,Mist Blue,6 GB,64 GB,4.3,14999,17999
X7 5G ,Nebula,8 GB,128 GB,4.3,21999,23999
X7 5G ,Space Silver,6 GB,128 GB,4.3,19999,21999
X7 5G ,Space Silver,8 GB,128 GB,4.3,21999,23999
X7 5G ,Nebula,6 GB,128 GB,4.3,19999,21999
Narzo 30 Pro 5G ,Sword Black,6 GB,64 GB,4.3,16999,18999
Narzo 30 Pro 5G ,Blade Silver,6 GB,64 GB,4.3,16999,18999
C3 ,Frozen Blue,3 GB,32 GB,4.4,9999,
C15 Qualcomm Edition ,Power Silver,3 GB,32 GB,4.3,11999,
C15 Qualcomm Edition ,Power Blue,4 GB,64 GB,4.4,12999,
C15 Qualcomm Edition ,Power Silver,4 GB,64 GB,4.4,12999,
Narzo 30 Pro 5G ,Blade Silver,8 GB,128 GB,4.3,19999,21999
Narzo 30 Pro 5G ,Sword Black,8 GB,128 GB,4.3,19999,21999
Narzo 50i ,Mint Green,2 GB,32 GB,0,7499,7999
Narzo 50i ,Carbon Black,2 GB,32 GB,0,7499,7999
Narzo 50A ,Oxygen Blue,4 GB,128 GB,0,12499,13999
Narzo 50A ,Oxygen Green,4 GB,64 GB,0,11499,12999
Narzo 50A ,Oxygen Blue,4 GB,64 GB,0,11499,12999
8 Pro ,Illuminating Yellow,8 GB,128 GB,4.4,19999,21999
8 Pro ,Illuminating Yellow,6 GB,128 GB,4.3,17999,19999
C25 ,Watery Grey,4 GB,64 GB,4.4,9999,10999
C25 ,Watery Blue,4 GB,64 GB,4.4,9999,10999
C3 ,Volcano Grey,4 GB,64 GB,4.4,9999,
C3 ,Volcano Grey,3 GB,32 GB,4.4,8999,
C3 ,Frozen Blue,4 GB,64 GB,4.4,10999,
C3 ,Blazing Red,3 GB,32 GB,4.4,8999,
C25 ,Watery Blue,4 GB,128 GB,4.4,10999,11999
X3 SuperZoom ,Arctic White,8 GB,128 GB,4.3,27999,29999
Narzo 20A ,Glory Silver,3 GB,32 GB,4.3,8499,10999
Narzo 20 ,Glory Silver,4 GB,64 GB,4.3,10499,12999
Narzo 20 ,Victory Blue,4 GB,64 GB,4.3,10499,12999
Narzo 20A ,Glory Silver,4 GB,64 GB,4.4,9499,11999
Narzo 20 ,Glory Silver,4 GB,128 GB,4.3,11499,13999
Narzo 10A ,So White,4 GB,64 GB,4.5,9999,10999
Narzo 10 ,That Green,4 GB,128 GB,4.5,11999,12999
Narzo 10 ,That White,4 GB,128 GB,4.5,11999,12999
Narzo 20 ,Victory Blue,4 GB,128 GB,4.3,11499,13999
Narzo 20A ,Victory Blue,4 GB,64 GB,4.4,9499,11999
C2 ,Diamond Black,2 GB,16 GB,4.4,6499,6999
Narzo 20A ,Victory Blue,3 GB,32 GB,4.3,8499,10999
6 Pro ,Lightning Red,8 GB,128 GB,4.4,19999,
Narzo 10A ,So Blue,3 GB,32 GB,4.5,8999,9999
6,Comet White,6 GB,128 GB,4.4,15999,16999
Narzo 10A ,So White,3 GB,32 GB,4.5,8999,9999
Narzo 10 ,That Blue,4 GB,128 GB,4.5,11999,12999
6,Comet Blue,4 GB,64 GB,4.4,13999,14999
U1 ,Ambitious Black,3 GB,32 GB,4.4,8285,
U1 ,Fiery Gold,3 GB,32 GB,4.4,8490,
6,Comet White,8 GB,128 GB,4.4,16999,17999
X2 Pro ,Lunar White,8 GB,128 GB,4.5,31999,
6,Comet White,4 GB,64 GB,4.4,13999,14999
U1 ,Brave Blue,4 GB,64 GB,4.4,9999,15499
6 Pro ,Lightning Blue,6 GB,64 GB,4.4,17999,
1,Solar Red,6 GB,128 GB,4.3,12799,
U1 ,Fiery Gold,4 GB,64 GB,4.4,11990,15499
5s ,Crystal Blue,4 GB,128 GB,4.5,11999,12999
C3 ,Blazing Red,4 GB,64 GB,4.4,10999,
X3 ,Glacier Blue,8 GB,128 GB,4.4,25999,27999
U1 ,Fiery Gold,3 GB,64 GB,4.4,11999,
C2 ,Diamond Blue,3 GB,32 GB,4.4,7499,8999
C2 ,Diamond Sapphire,3 GB,32 GB,4.4,7499,8999
C2 ,Diamond Ruby,3 GB,32 GB,4.4,7499,8999
X3 ,Glacier Blue,6 GB,128 GB,4.4,24999,26999
X2 ,Pearl White,8 GB,256 GB,4.5,24999,
X2 ,Pearl White,6 GB,128 GB,4.5,19999,
X2 ,Pearl Blue,8 GB,128 GB,4.5,20999,
X2 ,Pearl Green,6 GB,128 GB,4.5,19999,
X2 ,Pearl Blue,8 GB,256 GB,4.5,24999,
5i ,Forest Green,4 GB,128 GB,4.5,11999,
X2 Pro ,Red Brick,12 GB,256 GB,4.6,36999,
X2 Pro ,Concrete,12 GB,256 GB,4.6,36999,
