Model,Color,Memory,Storage,Rating,Selling Price,Original Price
google Pixel,4a ,Just Black,6 GB,128 GB,4.5,31999,
google Pixel,3a XL ,Clearly White,4 GB,64 GB,4.5,44999,
google Pixel,3,Just Black,4 GB,64 GB,4.5,69999,
google Pixel,3a XL ,Just Black,4 GB,64 GB,4.5,44999,
google Pixel,3,Clearly White,4 GB,64 GB,4.5,71000,
google Pixel,3,Not Pink,4 GB,64 GB,4.5,71000,
google Pixel,3,Not Pink,4 GB,128 GB,4.5,80000,
google Pixel,3 XL ,Not Pink,4 GB,64 GB,4.6,83000,
google Pixel,3 XL ,Just Black,4 GB,64 GB,4.6,83000,
google Pixel,3 XL ,Clearly White,4 GB,128 GB,4.6,92000,
google Pixel,3,Just Black,4 GB,128 GB,4.5,80000,
google Pixel,3,Clearly White,4 GB,128 GB,4.5,80000,
google Pixel,3 XL ,Just Black,4 GB,128 GB,4.6,92000,
google Pixel,3 XL ,Clearly White,4 GB,64 GB,4.6,83000,
google Pixel,3a ,Clearly White,4 GB,64 GB,4.5,39999,
google Pixel,XL ,Very Silver,4 GB,128 GB,4.5,76000,
google Pixel,2 XL ,Just Black,4 GB,128 GB,4.6,82000,
google Pixel,2,Just Black,4 GB,64 GB,4.6,61000,
google Pixel,3 XL ,Not Pink,4 GB,128 GB,4.6,92000,
google Pixel,2,Clearly White,4 GB,128 GB,4.6,70000,
google Pixel,,Quite Black,4 GB,128 GB,4.4,66000,
google Pixel,,Very Silver,4 GB,32 GB,4.4,57000,
google Pixel,2,Just Black,4 GB,128 GB,4.6,70000,
google Pixel,3a ,Just Black,4 GB,64 GB,4.5,39999,
