Model,Color,Memory,Storage,Rating,Selling Price,Original Price
A53,Moonlight Black,4 GB,64 GB,4.5,11990,15990
A53,Mint Cream,4 GB,64 GB,4.5,11990,15990
A53,Moonlight Black,6 GB,128 GB,4.3,13990,17990
A53,Mint Cream,6 GB,128 GB,4.3,13990,17990
A53,Electric Black,4 GB,64 GB,4.5,11990,15990
A53,Electric Black,6 GB,128 GB,4.3,13990,17990
A12,Deep Blue,4 GB,64 GB,4.4,10490,11990
A12,Black,3 GB,32 GB,4.4,9490,10990
A12,Blue,3 GB,32 GB,4.4,9490,10990
A12,Flowing Silver,3 GB,32 GB,4.4,9490,10990
A12,Deep Blue,3 GB,32 GB,4.4,9490,10990
A12,Flowing Silver,4 GB,64 GB,4.4,10490,11990
A53s 5G,Crystal Blue,6 GB,128 GB,4.3,15990,16990
A53s 5G,Ink Black,6 GB,128 GB,4.3,15990,16990
A12,Blue,4 GB,64 GB,4.4,10490,11990
A53s 5G,Crystal Blue,8 GB,128 GB,4.3,17990,18990
A53s 5G,Ink Black,8 GB,128 GB,4.3,17990,18990
A33,Moonlight Black,3 GB,32 GB,4.3,10490,12990
A31,Lake Green,4 GB,64 GB,4.3,11960,12990
A31,Mystery Black,4 GB,64 GB,4.3,11779,11919
