Model,Color,Memory,Storage,Rating,Selling Price,Original Price
C11 2021 ,Cool Blue,4 GB,64 GB,4.2,8799,9999
C11 2021 ,Cool Blue,2 GB,32 GB,4.3,7299,7999
C11 2021 ,Cool Grey,2 GB,32 GB,4.3,7299,7999
Narzo 30 5G ,Racing Blue,4 GB,64 GB,4.4,14999,15999
Narzo 30 5G ,Racing Silver,4 GB,64 GB,4.4,14999,15999
8s 5G ,Universe Blue,8 GB,128 GB,0,19999,22999
8s 5G ,Universe Purple,8 GB,128 GB,0,19999,22999
8s 5G ,Universe Purple,6 GB,128 GB,4.5,17999,20999
C21 ,Cross Black,4 GB,64 GB,4.4,9999,10999
C21 ,Cross Blue,4 GB,64 GB,4.4,9999,10999
C21 ,Cross Black,3 GB,32 GB,4.4,8999,9999
C21 ,Cross Blue,3 GB,32 GB,4.4,8999,9999
Narzo 30 ,Racing Silver,6 GB,64 GB,4.3,14499,15999
