Model,Color,Memory,Storage,Rating,Selling Price,Original Price
samsung Galaxy F22 ,Denim Blue,6 GB,128 GB,4.3,14999,16999
samsung Galaxy F22 ,Denim Blue,4 GB,64 GB,4.3,12999,14999
samsung Galaxy F22 ,Denim Black,6 GB,128 GB,4.3,14999,16999
samsung Galaxy F22 ,Denim Black,4 GB,64 GB,4.3,12999,14999
samsung Galaxy F12 ,Sky Blue,4 GB,64 GB,4.2,11499,12999
samsung Galaxy F12 ,Sea Green,4 GB,64 GB,4.2,11499,12999
samsung M31s ,Mirage Blue,8 GB,128 GB,4.3,20949,
samsung M02s ,Blue,3 GB,32 GB,4.2,9539,10389
samsung Galaxy F12 ,Celestial Black,4 GB,64 GB,4.2,11499,12999
samsung Guru 1200,,,,4.3,1200,
samsung Galaxy M02 ,Blue,2 GB,32 GB,4,8299,8499
samsung Galaxy A12 ,Blue,4 GB,64 GB,4.2,15999,
samsung Galaxy A22 ,Black,6 GB,128 GB,4.3,18499,20499
samsung Galaxy F12 ,Sky Blue,4 GB,128 GB,4.2,12499,13999
samsung Galaxy A22 5G ,Mint,6 GB,128 GB,4.3,19818,20969
